reference,latitude,longitude
BE1,48.9364008654209,2.35486259939749
BE2,48.9365014571036,2.35422526697779
BE3,48.9366784179604,2.3538876115834
BE23,48.931306928854,2.35603707619958
BE39,48.9351704734997,2.35602312626912
BE40,48.9344203214251,2.35578425546814
BE43,48.9321784198901,2.35430751269683
BE44,48.9324687245427,2.35559031920699
BE45,48.9303213589592,2.35634268233305
BE46,48.9303349023939,2.35642592559802
BE71,48.9365540363792,2.35424393482917
BE72,48.9367000474645,2.35319133210129
BE73,48.9368500637683,2.35192997755743
BE74,48.9369818282301,2.35091031987466
BE75,48.9368493979384,2.35116580991779
BE76,48.9368513552906,2.35111822908858
BE77,48.9368931540212,2.35088720515772
BE78,48.9370293178565,2.35050098969811
BE79,48.9369409805776,2.35047683811741
BE80,48.932664070439,2.35478631817256
BE96,48.9336591847624,2.35578932807129
BE222,48.9363450701442,2.35601306270462
BE223,48.9363451516585,2.35600999040072
BE235,48.9376445300657,2.35505969248638
BE154,48.9372135579256,2.35035379267637
BE156,48.9383203314989,2.35353200350467
BE249,48.9364181942028,2.35455868756901
BE250,48.9366422101891,2.35386011508586
BE251,48.9326971244175,2.35542416867707
BE253,48.9376304839004,2.3549926336411
BE259,48.938014269115,2.35101259104301
BE453,48.9364923360686,2.35463389093656
BE454,48.9362547764734,2.35572926448524
BE455,48.9363056842305,2.35542705489644
BE849,48.9365829234617,2.35476645367528
BE850,48.9365755588257,2.35484573291902
BE851,48.9365160513707,2.35480030171128
BE852,48.934364593558,2.35144217478801
BE899,48.9348195286263,2.35580706733137
BE1167,48.9327291648476,2.3552791606078
BE1168,48.9326021825287,2.35533180282324
BE1421,48.9359030483712,2.35464202748787
BE1422,48.9359061013893,2.35458857546167
BE1423,48.9373310846356,2.35288109794971
BE1424,48.9371236026058,2.35269675580705
BE1425,48.9370980135268,2.35313801357426
BE1504,48.948606757634,2.35271738636158
BE1569,48.9342324769697,2.35473753811277
BE1579,48.9371928051641,2.35351883379133
BE1580,48.9371286123109,2.35347446782482
BE1592,48.9365130934941,2.35116921560929
BE1593,48.9365151354246,2.35104955661439
BE1599,48.9380780309971,2.34698540532111
BE1798,48.937642211631,2.35494387045591
BE1799,48.9360024332632,2.35506710523376
BE1800,48.9360429169335,2.35509277334011
BE1805,48.9371474374026,2.35262568591376
BE1806,48.9371173629248,2.3529484909746
BE1969,48.9490073264525,2.35325745097111
BE1970,48.9490015722137,2.35329199904491
BE2019,48.9383297908833,2.34585386016458
BE2069,48.9382584064153,2.35359629255574
BE2070,48.9361350295453,2.35600119786
BE2071,48.9361350385851,2.3559997003273
BE2226,48.9491514251644,2.35404085904473
BE2227,48.9486981860046,2.35205132969389
BE2228,48.9492119133757,2.35297897610058
BE2229,48.9492188631586,2.35297134603289
BE2230,48.9487845455183,2.35290816810309
BE2231,48.9493295712922,2.35285609209341
BE2232,48.949045642733,2.35292813860673
BE2233,48.9488423674307,2.35325935899562
BE2282,48.9382360222032,2.3462851691008
BE2461,48.9326099539246,2.35510075489221
BE2535,48.948757372257,2.35186691772821
BE2536,48.9495496858569,2.35297455123029
BE2537,48.9487930834368,2.35290903809374
BE2538,48.9488644615592,2.35310182062373
BE2593,48.9486391540629,2.35311074944407
BE2663,48.9343602524592,2.35590033775211
BE2664,48.9338097714566,2.35564832678513
BE2665,48.9337660326482,2.35562638503961
BE2667,48.9313962157303,2.35605231011193
BE3014,48.9372753076189,2.35364210533816
BE3103,48.9377289719814,2.35373842028819
BE3117,48.9483668730827,2.3531218858392
BE3118,48.9491108728363,2.35317099105688
BE3119,48.9487039301142,2.35206205937167
BE3120,48.9491076306338,2.35234742173677
BE3121,48.9490524688333,2.35226764154719
BE3122,48.9489574416261,2.35227398338921
BE3123,48.9485374567737,2.35208046014453
BE3124,48.9486217705362,2.35213078485186
BE3212,48.9365419132097,2.35377877411547
BE3278,48.9366768423138,2.35383254541202
